Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('gfli_a_0', 'pi_cc_d')","('gfli_a_0', 'pi_cc_q')","('gfli_a_0', 'i_vsc_d')","('gfli_a_0', 'i_vsc_q')","('gfli_a_0', 'i_bus_d')","('gfli_a_0', 'i_bus_q')","('gfli_a_0', 'v_lcl_sh_d')","('gfli_a_0', 'v_lcl_sh_q')","('gfli_a_0', 'int_pll')","('gfli_a_0', 'phase_pll')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('infinite_sources_0', 'i_bus_d')",-18.84955592153876,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18846.378490898787,-346.087007852547,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-18.84955592153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.087007852547,-18846.378490898787,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_vsc_d')",0.0,0.0,7539.822368615503,0.0,-7.5398223686155035,376.99111843077515,-3392.9200658769764,-1130.9733552923258,-7539.822368615503,0.0,-0.2476144811379604,25.062428927657823,0.0,0.0,5648.750639779432,-264.0977062256816,0.0,0.0
"('gfli_a_0', 'i_vsc_q')",0.0,0.0,0.0,7539.822368615503,-376.99111843077515,-7.5398223686155035,1130.9733552923258,-3392.9200658769764,0.0,-7539.822368615503,-0.25372352880366783,-5697.922158722316,0.0,0.0,238.28449237673976,5624.449125543343,0.0,0.0
"('gfli_a_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,-15.079644737231007,376.99111843077515,3769.9111843077517,0.0,-0.2711011925951121,27.43964868449147,0.0,0.0,-3767.680006239136,132.48647750168018,0.0,0.0
"('gfli_a_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-15.079644737231007,0.0,3769.9111843077517,0.7903926051307939,3735.7352787316713,0.0,0.0,-156.22673665062192,-3687.564069221209,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,0.0,-3769.9111843077517,376.99111843077515,-0.08012366528345985,8.109758594737968,0.0,0.0,-0.3391463863869914,-8.005185638894314,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,-376.99111843077515,-3769.9111843077517,-1.0361037674061155,104.86978351571614,0.0,0.0,-4.385606267444064,-103.51751844976975,0.0,0.0
"('gfli_a_0', 'int_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2530.388046417819,0.0,0.0,105.8196680054408,2497.75943554683,0.0,0.0
"('gfli_a_0', 'phase_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-101.21552185671277,0.0,0.0,4.232786720217632,99.91037742187319,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",56539.13264573973,-1038.2609716445922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2827.433246859151,376.99111843077515,0.0,0.0,-56548.66493718302,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",1038.2609716445922,56539.13264573973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-2827.433246859151,0.0,0.0,0.0,-56548.66493718302
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,56497.98456577003,2393.584379921447,0.0,0.0,0.0,13424.799601354003,0.0,0.0,-2827.433246859151,376.99111843077515,56548.66493718302,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,-2393.584379921447,56497.98456577003,0.0,0.0,0.0,-45304.49278555209,0.0,0.0,-376.99111843077515,-2827.433246859151,0.0,56548.66493718302
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7539.822368615503,0.0,-7.5398223686155035,376.99111843077515
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7539.822368615503,-376.99111843077515,-7.5398223686155035
