Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('gfli_d_0', 'i_bus_d_ref')","('gfli_d_0', 'i_bus_q_ref')","('gfli_d_0', 'v_dc_ref')","('gfli_d_0', 'v_s')","('gfli_d_0', 'i_load_ref')"
"('infinite_sources_0', 'i_bus_d')",18849.55592153876,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,18849.55592153876,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'pi_cc_d')",0.0,0.0,6.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'pi_cc_q')",0.0,0.0,0.0,6.0,0.0,0.0,0.0
"('gfli_d_0', 'i_vsc_d')",0.0,0.0,3392.9200658769764,0.0,0.0,0.0,0.0
"('gfli_d_0', 'i_vsc_q')",0.0,0.0,0.0,3392.9200658769764,0.0,0.0,0.0
"('gfli_d_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'int_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'phase_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'i_l_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'v_dc_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'i_dc_f')",0.0,0.0,11.417558796165054,-11.142651651208217,0.0,0.0,0.0
"('gfli_d_0', 'i_load_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_d_0', 'x_1')",0.0,0.0,0.0,0.0,20.0,0.0,0.0
"('gfli_d_0', 'x_2')",0.0,0.0,0.0,0.0,12.0,0.0,0.0
"('gfli_d_0', 'i_L')",0.0,0.0,0.0,0.0,4523.893421169302,3769.9111843077517,0.0
"('gfli_d_0', 'v_dc')",0.0,0.0,-2.152159130157699,2.1003403541367547,-39.93916467862174,0.0,0.0
"('gfli_d_0', 'iload')",0.0,0.0,0.0,0.0,0.0,0.0,999.9999999999999
"('gfli_d_0', 'soc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
