Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('gfmi_c_0', 'angle_pc')","('gfmi_c_0', 'w_pc')","('gfmi_c_0', 'p_pc')","('gfmi_c_0', 'q_pc')","('gfmi_c_0', 'pi_vc')","('gfmi_c_0', 'i_vsc_d')","('gfmi_c_0', 'i_vsc_q')","('gfmi_c_0', 'i_bus_d')","('gfmi_c_0', 'i_bus_q')","('gfmi_c_0', 'v_lcl_sh_d')","('gfmi_c_0', 'v_lcl_sh_q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('infinite_sources_0', 'i_bus_d')",-18.84955592153876,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18846.378490898787,-346.087007852547,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-18.84955592153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.087007852547,-18846.378490898787,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'angle_pc')",0.0,0.0,0.0,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'w_pc')",0.0,0.0,0.0,-70.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'p_pc')",0.0,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,0.0,1054.4505649960756,53.92434477260835,-716.8688130840462,-429.31973131851964,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'q_pc')",0.0,0.0,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,53.92434477260835,-1054.4505649960756,429.31973131851964,-716.8688130840462,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'pi_vc')",0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,-9.986949219661135,-0.5107301478372704,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_d')",0.0,0.0,0.0,237.7016720583119,0.0,-37.69911184307752,3769.9111843077517,-75.39822368615502,376.99111843077515,0.0,0.0,-7534.90234033916,-192.54072964948773,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_q')",0.0,0.0,0.0,250.8303248763859,0.0,0.0,0.0,-376.99111843077515,-75.39822368615502,0.0,0.0,0.0,-3769.9111843077517,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_d')",0.0,0.0,-396.17562969618393,-161.8497256741686,0.0,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,0.0,0.0,-1825.647714454513,469.1140661919885,0.0,0.0
"('gfmi_c_0', 'i_bus_q')",0.0,0.0,1866.2807398069024,270.2531756126969,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,0.0,0.0,-469.1140661919885,-1825.647714454513,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_d')",0.0,0.0,0.0,20.328999046472347,0.0,0.0,0.0,376.99111843077515,0.0,-376.99111843077515,0.0,-37.69911184307752,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_q')",0.0,0.0,0.0,-397.5184978278333,0.0,0.0,0.0,0.0,376.99111843077515,0.0,-376.99111843077515,-376.99111843077515,-37.69911184307752,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",56539.13264573973,-1038.2609716445922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2827.433246859151,376.99111843077515,0.0,0.0,-56548.66493718302,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",1038.2609716445922,56539.13264573973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-2827.433246859151,0.0,0.0,0.0,-56548.66493718302
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,13424.799601354003,0.0,0.0,0.0,0.0,0.0,0.0,54769.42869516395,14073.42128208859,0.0,0.0,0.0,0.0,-2827.433246859151,376.99111843077515,56548.66493718302,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,-45304.492785552095,0.0,0.0,0.0,0.0,0.0,0.0,-14073.42128208859,54769.42869516395,0.0,0.0,0.0,0.0,-376.99111843077515,-2827.433246859151,0.0,56548.66493718302
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7539.822368615503,0.0,-7.5398223686155035,376.99111843077515
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7539.822368615503,-376.99111843077515,-7.5398223686155035
