Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('gfli_a_0', 'i_bus_d_ref')","('gfli_a_0', 'i_bus_q_ref')"
"('infinite_sources_0', 'i_bus_d')",18849.55592153876,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,18849.55592153876,0.0,0.0
"('gfli_a_0', 'pi_cc_d')",0.0,0.0,6.0,0.0
"('gfli_a_0', 'pi_cc_q')",0.0,0.0,0.0,6.0
"('gfli_a_0', 'i_vsc_d')",0.0,0.0,3392.9200658769764,0.0
"('gfli_a_0', 'i_vsc_q')",0.0,0.0,0.0,3392.9200658769764
"('gfli_a_0', 'i_bus_d')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_bus_q')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'int_pll')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'phase_pll')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0
