Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('gfli_a_0', 'pi_cc_d')","('gfli_a_0', 'pi_cc_q')","('gfli_a_0', 'i_vsc_d')","('gfli_a_0', 'i_vsc_q')","('gfli_a_0', 'i_bus_d')","('gfli_a_0', 'i_bus_q')","('gfli_a_0', 'v_lcl_sh_d')","('gfli_a_0', 'v_lcl_sh_q')","('gfli_a_0', 'int_pll')","('gfli_a_0', 'phase_pll')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('infinite_sources_0', 'i_bus_d')",-18.84955592153876,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18846.262066193955,-352.36993565807535,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-18.84955592153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.36993565807535,-18846.262066193955,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_vsc_d')",0.0,0.0,7539.822368615503,0.0,-7.5398223686155035,376.99111843077515,-3392.9200658769764,-1130.9733552923258,-7539.822368615503,0.0,-0.46684662635780155,47.772504956826104,0.0,0.0,5647.874109970784,-284.98378055014905,0.0,0.0
"('gfli_a_0', 'i_vsc_q')",0.0,0.0,0.0,7539.822368615503,-376.99111843077515,-7.5398223686155035,1130.9733552923258,-3392.9200658769764,0.0,-7539.822368615503,-0.2957718920815697,-5756.369640865412,0.0,0.0,237.09398707744964,5620.290862736024,0.0,0.0
"('gfli_a_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,-15.079644737231007,376.99111843077515,3769.9111843077517,0.0,-0.4936476959191162,50.5150635535436,0.0,0.0,-3768.6417994501135,109.57283186515026,0.0,0.0
"('gfli_a_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-15.079644737231007,0.0,3769.9111843077517,0.781782955329153,3777.757356933433,0.0,0.0,-155.59868629837658,-3688.452354427805,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,0.0,-3769.9111843077517,376.99111843077515,-0.08015288631659179,8.202060254214176,0.0,0.0,-0.3378273615571289,-8.008166114822307,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,-376.99111843077515,-3769.9111843077517,-1.0695395587790635,109.44618850931656,0.0,0.0,-4.507881672484612,-106.85891483989539,0.0,0.0
"('gfli_a_0', 'int_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2558.2548025211718,0.0,0.0,105.36968070705585,2497.778459028681,0.0,0.0
"('gfli_a_0', 'phase_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-102.33019210084686,0.0,0.0,4.214787228282233,99.91113836114724,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",56538.78337164268,-1057.1097541187382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2827.433246859151,376.99111843077515,0.0,0.0,-56548.66493718302,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",1057.1097541187382,56538.78337164268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-2827.433246859151,0.0,0.0,0.0,-56548.66493718302
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,56498.41486677049,2383.4059075365035,0.0,0.0,0.0,26027.00620792074,0.0,0.0,-2827.433246859151,376.99111843077515,56548.66493718302,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,-2383.4059075365035,56498.41486677049,0.0,0.0,0.0,-45346.060580651785,0.0,0.0,-376.99111843077515,-2827.433246859151,0.0,56548.66493718302
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7539.822368615503,0.0,-7.5398223686155035,376.99111843077515
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7539.822368615503,-376.99111843077515,-7.5398223686155035
