Index,"('gfmi_c_0', 'p_ref')","('gfmi_c_0', 'q_ref')","('gfmi_c_0', 'v_ref')","('gfmi_d_0', 'p_ref')","('gfmi_d_0', 'q_ref')","('gfmi_d_0', 'v_ref')","('gfli_a_0', 'i_bus_d_ref')","('gfli_a_0', 'i_bus_q_ref')"
"('gfmi_c_0', 'p_ref')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'q_ref')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_ref')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'p_ref')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'q_ref')",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"('gfmi_d_0', 'v_ref')",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('gfmi_d_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_bus_d_ref')",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('gfli_a_0', 'i_bus_q_ref')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('gfli_a_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_from_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_from_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_to_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_to_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
