Index,"('gfmi_c_0', 'p_ref')","('gfmi_c_0', 'q_ref')","('gfmi_c_0', 'v_ref')","('gfmi_d_0', 'p_ref')","('gfmi_d_0', 'q_ref')","('gfmi_d_0', 'v_ref')","('gfli_a_0', 'i_bus_d_ref')","('gfli_a_0', 'i_bus_q_ref')"
"('gfmi_c_0', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'w_pc')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'q_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'pi_vc')",0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_d')",0.0,0.0,3769.9111843077517,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'w_pc')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'q_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'pi_vc')",0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
"('gfmi_d_0', 'i_vsc_d')",0.0,0.0,0.0,0.0,0.0,3769.9111843077517,0.0,0.0
"('gfmi_d_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_d_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"('gfli_a_0', 'pi_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"('gfli_a_0', 'i_vsc_d')",0.0,0.0,0.0,0.0,0.0,0.0,3769.9111843077517,0.0
"('gfli_a_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3769.9111843077517
"('gfli_a_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'int_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'phase_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
