Index,"('voltage_source_4a_0', 'i_bus_d')","('voltage_source_4a_0', 'i_bus_q')","('gfli_16c_0', 'z_pll')","('gfli_16c_0', 'phase')","('gfli_16c_0', 'z_cc_d')","('gfli_16c_0', 'z_cc_q')","('gfli_16c_0', 'i_vsc_d')","('gfli_16c_0', 'i_vsc_q')","('gfli_16c_0', 'i_bus_d')","('gfli_16c_0', 'i_bus_q')","('gfli_16c_0', 'v_lcl_sh_d')","('gfli_16c_0', 'v_lcl_sh_q')","('gfli_16c_0', 'x_oc')","('gfli_16c_0', 'i_load')","('gfli_16c_0', 'v_dc')","('constant_impedance_loads_0', 'i_bus_D')","('constant_impedance_loads_0', 'i_bus_Q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('voltage_source_4a_0', 'i_bus_d')",-37.69911184307752,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75397.22506375983,-388.0563260881868,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'i_bus_q')",-376.99111843077515,-37.69911184307752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0563260881868,-75397.22506375983,0.0,0.0,0.0,0.0
"('gfli_16c_0', 'z_pll')",0.0,0.0,0.0,-2374.9999750004154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.7666469293672,2099.805768584333,0.0,0.0
"('gfli_16c_0', 'phase')",0.0,0.0,1.0,-94.99999900001662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.270665877174686,83.99223074337331,0.0,0.0
"('gfli_16c_0', 'z_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_16c_0', 'z_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_16c_0', 'i_vsc_d')",0.0,0.0,0.036989121876392216,-3.513966541268753,2513.2741228718346,0.0,-12.56637061435917,376.99111843077515,-125.66370614359174,-879.645943005142,-2513.2741228718346,0.0,125.66370614359174,0.0,251.32741228718348,0.0,0.0,0.0,0.0,1585.2236746464462,-1019.8711524913128,0.0,0.0
"('gfli_16c_0', 'i_vsc_q')",0.0,0.0,-0.8018914450373471,-1714.5281072202692,0.0,2513.2741228718346,-376.99111843077515,-12.56637061435917,879.645943005142,-125.66370614359174,0.0,-2513.2741228718346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.4587686675629,1515.8635990892883,0.0,0.0
"('gfli_16c_0', 'i_bus_d')",0.0,0.0,0.010526315900275147,-0.9999999999999979,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1582.644980198861,1023.862080104923,0.0,0.0
"('gfli_16c_0', 'i_bus_q')",0.0,0.0,5.276315745014588,-501.24999050015776,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-736.6287824907868,-1140.0467208418434,0.0,0.0
"('gfli_16c_0', 'v_lcl_sh_d')",0.0,0.0,-0.1049473695257434,9.969999999999995,0.0,0.0,5711.9866428905325,0.0,-5711.9866428905325,0.0,-571.1986642890532,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.695563626220005,-8.814763677116305,0.0,0.0
