Index,"('voltage_source_4a_0', 'i_bus_d')","('voltage_source_4a_0', 'i_bus_q')","('gfmi_18a_0', 'phase')","('gfmi_18a_0', 'w')","('gfmi_18a_0', 'q_f')","('gfmi_18a_0', 'z_vc_d')","('gfmi_18a_0', 'z_vc_q')","('gfmi_18a_0', 'z_cc_d')","('gfmi_18a_0', 'z_cc_q')","('gfmi_18a_0', 'i_vsc_d')","('gfmi_18a_0', 'i_vsc_q')","('gfmi_18a_0', 'i_bus_d')","('gfmi_18a_0', 'i_bus_q')","('gfmi_18a_0', 'v_lcl_sh_d')","('gfmi_18a_0', 'v_lcl_sh_q')","('constant_impedance_loads_0', 'i_bus_D')","('constant_impedance_loads_0', 'i_bus_Q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('voltage_source_4a_0', 'i_bus_d')",-37.69911184307752,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75397.24329042643,-384.4986758312936,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'i_bus_q')",-376.99111843077515,-37.69911184307752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.4986758312936,-75397.24329042643,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'phase')",0.0,0.0,0.0,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'w')",0.0,0.0,0.0,-17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23449868776071975,2.1486418154099362e-17,0.13104722224487708,0.012106630615731513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'q_f')",0.0,0.0,0.0,0.0,-4000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.437826904655898e-13,-3751.979004171516,193.7060898517042,-2096.755555918033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'z_vc_d')",0.0,0.0,0.0,0.0,-96.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-484.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'z_vc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-484.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'z_cc_d')",0.0,0.0,0.0,3.3821652676277377e-16,-6.7440000000000015,60.0,0.0,0.0,0.0,-60.0,0.0,48.0,0.0,-33.720000000000006,-3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'z_cc_q')",0.0,0.0,0.0,3.7144592141298007,0.0,0.0,60.0,0.0,0.0,0.0,-60.0,0.0,48.0,3.96,-33.720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'i_vsc_d')",0.0,0.0,0.0,6.661338147750939e-14,-1347.4868944294885,11988.31756609865,0.0,2513.2741228718346,0.0,-12000.88393671301,-5.684341886080802e-14,9590.654052878921,0.0,-9250.708595019278,-791.228959362511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'i_vsc_q')",0.0,0.0,0.0,742.1686107551546,0.0,0.0,11988.31756609865,0.0,2513.2741228718346,5.684341886080802e-14,-12000.88393671301,0.0,9590.654052878921,791.228959362511,-9250.708595019278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'i_bus_d')",0.0,0.0,-200.35301085512197,-18.25636886501155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,-1600.3327263960184,995.9883278523173,0.0,0.0
"('gfmi_18a_0', 'i_bus_q')",0.0,0.0,1779.4642658530513,197.61455552537026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,0.0,0.0,0.0,0.0,-995.9883278523173,-1600.3327263960184,0.0,0.0
