Index,"('voltage_source_4a_0', 'v_ref_d')","('voltage_source_4a_0', 'v_ref_q')","('gfmi_18a_0', 'p_ref')","('gfmi_18a_0', 'q_ref')","('gfmi_18a_0', 'v_ref')","('constant_impedance_loads_0', 'v_ground_D')","('constant_impedance_loads_0', 'v_ground_Q')"
"('voltage_source_4a_0', 'i_bus_d')",75398.22368615503,0.0,0.0,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'i_bus_q')",0.0,75398.22368615503,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'phase')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'w')",0.0,0.0,0.25,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'q_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'z_vc_d')",0.0,0.0,0.0,96.9978,484.989,0.0,0.0
"('gfmi_18a_0', 'z_vc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'z_cc_d')",0.0,0.0,0.0,6.7440000000000015,33.720000000000006,0.0,0.0
"('gfmi_18a_0', 'z_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'i_vsc_d')",0.0,0.0,0.0,1347.4868944294885,6737.434472147443,0.0,0.0
"('gfmi_18a_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('constant_impedance_loads_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,605.6921143851334,0.0
"('constant_impedance_loads_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,605.6921143851334
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
