Index,"('voltage_source_4a_0', 'v_ref_d')","('voltage_source_4a_0', 'v_ref_q')","('gfli_13a_0', 'i_ref_d')","('gfli_13a_0', 'i_ref_q')","('constant_impedance_loads_0', 'v_ground_D')","('constant_impedance_loads_0', 'v_ground_Q')"
"('voltage_source_4a_0', 'v_ref_d')",1.0,0.0,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'v_ref_q')",0.0,1.0,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_13a_0', 'i_ref_d')",0.0,0.0,1.0,0.0,0.0,0.0
"('gfli_13a_0', 'i_ref_q')",0.0,0.0,0.0,1.0,0.0,0.0
"('gfli_13a_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_13a_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('constant_impedance_loads_0', 'v_ground_D')",0.0,0.0,0.0,0.0,1.0,0.0
"('constant_impedance_loads_0', 'v_ground_Q')",0.0,0.0,0.0,0.0,0.0,1.0
"('constant_impedance_loads_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('constant_impedance_loads_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_from_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_from_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_to_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_to_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
